y,yhat,yhat_baseline
0.001082258823056069,0.0,0.0
0.00010966170993148856,2.692123925194957e-6,2.6942229804885054e-6
-0.00013816822893566988,3.4893218179923245e-5,3.350445443395257e-5
0.0014431557784140305,0.00014948477667081064,0.00014482334873789374
-0.00017921341951159246,0.00039727886597171094,0.0003881160477750673
-0.0020407288897498557,0.0008204778895355983,0.0008046444687076667
0.0027278124180592357,0.0014514444228560025,0.0014265235066220244
0.0024852660695690748,0.002319036970502927,0.002283939149048379
0.0022224987160259,0.0034359130940917358,0.003387767736062444
0.005798910925839746,0.004780369681881508,0.004716719164512957
0.006289941599709701,0.006304347162263122,0.006226694958825297
0.0081178153609356,0.007953207869691248,0.007867342505032364
0.010103663271550822,0.009679207467708681,0.009603929449188258
0.011689299316500435,0.011420225164591345,0.011384691457261622
0.013767326611949775,0.013119476643498572,0.013162720605636542
0.016494977841682416,0.014734771982183379,0.014903669760401823
0.022194957578095812,0.01623077768046959,0.016579058278793444
0.01926987170986617,0.01758382853800393,0.018168146231552558
0.027360944391570514,0.018762754890853314,0.01963794528755841
0.025615397549586444,0.019747305141029514,0.020968550953828984
0.02617035579652915,0.020536956414961813,0.022158322288487107
0.02790798866719447,0.021138434959427164,0.023209956729103948
0.02646388213055924,0.021529260058742918,0.024093436291265098
0.02185309696894109,0.021690172788065485,0.024785487355380612
0.020738649107109583,0.021632176731360017,0.02528668685580088
0.013468622539465019,0.02139229823509153,0.025626180963142887
0.005136401928930154,0.02099258826880941,0.025812609610706715
-0.0023610544098612296,0.020472956275247582,0.025878221621890015
-0.01810538674123162,0.019881371325758606,0.025863536066376182
-0.02608605057733867,0.01925262638998049,0.025797029007349155
-0.04335082313283957,0.018589886251994425,0.025675817618064426
-0.061939359484763104,0.0178922200740243,0.02549063823856037
-0.07722325512297178,0.01717141609685381,0.025246978342650946
-0.09481788456256943,0.016461773868789678,0.024971183114526983
-0.11094874368530429,0.015780567368035913,0.02467418007888357
-0.12649529527839334,0.015117070304969572,0.024339454517375188
-0.14385466097518665,0.014463273850927544,0.02395351491939295
-0.16002008373419743,0.013818067843614048,0.023512872414406197
-0.1736508616350521,0.013181647219798434,0.023013931983385118
-0.18732915516699986,0.012540981940510064,0.022443971962747094
-0.19689239342799114,0.011877442627769012,0.021786085734709804
