θ,cost,cost_baseline
5.0,2.762891433454376,3.009505834446488
5.05,2.696322419940016,3.005761702287524
5.1,2.634630767248774,3.0056492670705683
5.15,2.579342967573794,3.0092484349123105
5.2,2.529982243408522,3.0166377296104896
5.25,2.4862715932807538,3.0278883385981046
5.3,2.448481650187311,3.0430767235247647
5.35,2.417091431573291,3.0622718747112985
5.4,2.3923113960359843,3.085545626682387
5.45,2.3738861894721337,3.1129578458434084
5.5,2.3613135307760147,3.1445735109753326
5.55,2.354476791922078,3.1804527274948367
5.6,2.3528164122025466,3.220652453447736
5.65,2.356568540238102,3.265224943290474
5.7,2.366521841102689,3.31421847630748
5.75,2.3824049701121175,3.367681662866133
5.8,2.403987953780898,3.4256575340390243
5.85,2.431148774158892,3.4881884263968965
5.9,2.4638071787116234,3.5553087993457457
5.95,2.501900800401639,3.627048127164692
6.0,2.545378692480235,3.7034434168711194
6.05,2.5941994737571847,3.784521620552011
6.1,2.648328982015568,3.870298647045774
6.15,2.70773941504551,3.9608066200784147
6.2,2.7724075305982576,4.056059196598283
6.25,2.8423085974724263,4.156066140517842
6.3,2.917414861830514,4.260845739136097
6.35,2.997695937137748,4.370404614309566
6.4,3.0831198537896416,4.484759612330434
6.45,3.1736538772393703,4.6039025274699386
6.5,3.269265323172354,4.727843186046694
6.55,3.369922044717202,4.856576953188179
6.6,3.475592441990614,4.9901077795696205
6.65,3.5862454890541056,5.128430689992751
6.7,3.701851289220414,5.271541444514819
6.75,3.822380220137247,5.419427641099999
6.8,3.9478039685468214,5.5720837437751065
6.85,4.078094742105671,5.729507983314482
6.9,4.213225181783802,5.891683291378556
6.95,4.35316911840027,6.058583417994402
7.0,4.497900877180401,6.230211027108046
7.05,4.6473953613516334,6.4065497097680595
7.1,4.8016283753120454,6.587576215018762
7.15,4.960576241464334,6.773280374923861
7.2,5.124215930313634,6.9636424988669035
7.25,5.292525220087223,7.158643244120948
7.3,5.465482307652994,7.3582687866498
7.35,5.643066236804645,7.562501038812041
7.4,5.825256701566825,7.771309469445608
7.45,6.012033915322765,7.984687381404009
7.5,6.203378879157357,8.202606431671791
