θ,cost,cost_baseline
5.0,0.8606334302816541,0.8617534301090477
5.05,0.7848871712807028,0.7858873126301955
5.1,0.7127977733675446,0.7136891524095964
5.15,0.6443556963570267,0.6451486630254837
5.2,0.579553868525081,0.5802562673266533
5.25,0.518387332347899,0.5190039563023945
5.3,0.4608532629862689,0.4613965512593293
5.35,0.4069502680849249,0.40742354586510765
5.4,0.3566785637655142,0.3570908310028794
5.45,0.3100395032298847,0.31039482795031564
5.5,0.26703549754480616,0.26733662942596537
5.55,0.22766989100182453,0.22792395275875232
5.6,0.1919465820732386,0.19215671241756607
5.65,0.15987013029058883,0.16003952792492301
5.7,0.13144530042237926,0.13157737010545592
5.75,0.10667728638238597,0.10677437986198444
5.8,0.08557130924532452,0.08563596502778073
5.85,0.0681326095309387,0.068166502191466
5.9,0.05436627972828247,0.05437260475986822
5.95,0.04427733656139289,0.044257482310918084
6.0,0.037870449994842015,0.037825891173282666
6.05,0.03514992231880292,0.03508253305940253
6.1,0.03611966043279857,0.036030502588159395
6.15,0.040783037484872255,0.040672855488228105
6.2,0.04914289507775728,0.04901351900059348
6.25,0.061201476147190896,0.06105369978981698
6.3,0.0769603197859577,0.07679511420768034
6.35,0.09642028505441672,0.09623867776130775
6.4,0.11958150866061244,0.11938389930458046
6.45,0.1464432857903624,0.1462297371612901
6.5,0.17700412847062968,0.1767787547846547
6.55,0.21126172456436937,0.21102229845740922
6.6,0.24921286302284404,0.24895970052447894
6.65,0.2908533994690391,0.2905894015750111
6.7,0.336178405570112,0.3359043206366997
6.75,0.3851818613879682,0.38489810331870394
6.8,0.43785691364550594,0.4375630838719561
6.85,0.49419568622985766,0.4938953174819376
6.9,0.5541894845588714,0.5538803735711486
6.95,0.617828491074827,0.6175112345184459
7.0,0.6851018625251251,0.6847809111109566
7.05,0.7559980065821343,0.7556767052245912
7.1,0.8305042690957407,0.8301813094994632
7.15,0.9086069129485411,0.9082802117221409
7.2,0.990291372517126,0.9899633018699546
7.25,1.0755419929864338,1.0752151072002067
7.3,1.164342268666658,1.164023548571288
7.35,1.2566749050758559,1.2563593392507666
7.4,1.3525213436955592,1.3522134824524532
7.45,1.4518623999884916,1.4515635968527174
7.5,1.554677870608952,1.5543814069860413
