θ,cost,cost_baseline
5.0,0.21187155978316732,0.25354114180491605
5.05,0.2120288599333037,0.24940221247202204
5.1,0.21233518978126348,0.24511870234043454
5.15,0.21271482767127425,0.2410941407482002
5.2,0.21327822640968874,0.23704979846363028
5.25,0.21380519966152461,0.23349968101587346
5.3,0.21436099591590868,0.22999239559394224
5.35,0.215015287810844,0.22639281892288618
5.4,0.2157355378183916,0.2230106948139946
5.45,0.21647474943671466,0.2194569266522177
5.5,0.21725657370140575,0.2170296313596539
5.55,0.21794723351740394,0.21505569373332337
5.6,0.2186291857457485,0.21403623107495912
5.65,0.21944676312596367,0.2138962072854725
5.7,0.2202164319055317,0.21458009366856803
5.75,0.22099218667921935,0.21504115476625477
5.8,0.2218318793320757,0.21536861758955045
5.85,0.22267631731346263,0.21535863449986045
5.9,0.22350210732718298,0.215026714822846
5.95,0.22428792844807688,0.21440664377849208
6.0,0.22504996893002568,0.21422677913011043
6.05,0.2257135950417325,0.21415375431484057
6.1,0.22633001827407617,0.21449457775364622
6.15,0.2268744169649663,0.2146030577870263
6.2,0.22730597934710758,0.2155203363659345
6.25,0.22762718301076387,0.21663076699873987
6.3,0.22784359202521218,0.21824028999442271
6.35,0.22796460117935188,0.22060342041967068
6.4,0.22796433063872382,0.22303022861821875
6.45,0.22786799561491194,0.22627236516901833
6.5,0.2276486716439675,0.2301059039068224
6.55,0.22732298859102512,0.23396447875212179
6.6,0.22690530132093284,0.23792847394553895
6.65,0.22641963248598065,0.24185570471036522
6.7,0.22587381772602994,0.2454338751985026
6.75,0.22529210517665077,0.24870141116812045
6.8,0.22466423991670062,0.25122759108978887
6.85,0.2240271558881476,0.2536052557053444
6.9,0.22337841292449626,0.255694524289958
6.95,0.22276631412095751,0.2568197622091333
7.0,0.2221652287218918,0.25778447570407237
7.05,0.22160098419558666,0.2579706054236551
7.1,0.2210777112103955,0.2571088347750145
7.15,0.22058317038226657,0.2550258337682717
7.2,0.22011555173589348,0.25208392198861
7.25,0.2196827662557918,0.2482312142207896
7.3,0.21926989822391824,0.2435383161467191
7.35,0.21887312808008563,0.2387447056786263
7.4,0.21850244962586807,0.2335628919480669
7.45,0.2181432570171753,0.22947509953257408
7.5,0.2177775956555789,0.22582113473835777
