θ,cost,cost_baseline
5.0,1.76513810302339,1.1256250430973862
5.05,1.7063863042060792,1.0738710049536642
5.1,1.6522735302779454,1.0270360060256216
5.15,1.6027684536178624,0.985080594543853
5.2,1.5578401409993037,0.947951659393323
5.25,1.5174639876581757,0.9155984080629184
5.3,1.4816121687617472,0.8879938702785011
5.35,1.4502608825424668,0.8650903541654317
5.4,1.4233867798095754,0.8468549238975591
5.45,1.4009679947319422,0.8332493055529128
5.5,1.382984595110668,0.8242433081834022
5.55,1.369415566299114,0.8198036194376814
5.6,1.3602421585299902,0.8199022823123233
5.65,1.3554468103649433,0.824513831718983
5.7,1.3550124784276871,0.8336039554177854
5.75,1.3589204559895591,0.8471522200074518
5.8,1.3671549686193274,0.8651312181946464
5.85,1.3796995668023,0.8875157578633459
5.9,1.3965392509396828,0.9142808589711842
5.95,1.4176571042356099,0.9454062775738873
6.0,1.4430365887855947,0.9808652816431256
6.05,1.472661666379832,1.0206391673335957
6.1,1.5065144936741464,1.064698342791285
6.15,1.544577872694498,1.1130293263959061
6.2,1.5868328291373721,1.1656019514177902
6.25,1.633262215360356,1.222397893336764
6.3,1.6838493325657005,1.2833949696209994
6.35,1.7385733835711454,1.3485677394292064
6.4,1.797417998714794,1.4179065020022614
6.45,1.8603629150000172,1.491369195636455
6.5,1.92738774968766,1.5689448045535581
6.55,1.9984727844436023,1.6506090721310926
6.6,2.0735973210651304,1.7363395207002121
6.65,2.1527379315045465,1.826110913808641
6.7,2.235873634446462,1.9199013851566895
6.75,2.3229808821406306,2.0176858831585847
6.8,2.414037604645303,2.119441126996683
6.85,2.509021366986461,2.225142685129396
6.9,2.6079084718828907,2.3347545733190582
6.95,2.7106744706949617,2.4482669848004806
7.0,2.8172967840939185,2.565649970185312
7.05,2.9277501318488457,2.6868681747011247
7.1,3.0420070831851347,2.8119001011307545
7.15,3.1600442283726196,2.9407291853781166
7.2,3.2818326687082116,3.073313235422518
7.25,3.4073455487462256,3.2096267591263024
7.3,3.536556398865322,3.349645021877503
7.35,3.669433884342713,3.4933320213447856
7.4,3.805948507435676,3.6406568210583794
7.45,3.946067397308988,3.7915942007718364
7.5,4.089756437290386,3.9461104632012165
