θ,cost,cost_baseline
5.0,3.400100589441514,3.5307720563395
5.05,3.349296645325601,3.4708697629473937
5.1,3.305279028712925,3.4291325747417143
5.15,3.26418052836109,3.4027882921712553
5.2,3.2210783551412656,3.386307771818243
5.25,3.170542856204539,3.372035447694023
5.3,3.107214852668222,3.3513058075471522
5.35,3.026448894708359,3.3155720575346974
5.4,2.924785295645207,3.257402209442387
5.45,2.8003141972780448,3.1711560646616914
5.5,2.6528788802706704,3.0534232559167935
5.55,2.484070294709149,2.9032739663373004
5.6,2.2970940727281377,2.722256963802247
5.65,2.0965658789516777,2.514244691559026
5.7,1.8882161237468107,2.285021565577305
5.75,1.6786045807582477,2.0418382121004717
5.8,1.474759612123729,1.792979856129653
5.85,1.2838148215114535,1.5473342796764615
5.9,1.1127851993623272,1.3140974818169386
5.95,0.9682737006873299,1.1023903724715964
6.0,0.8561576647168709,0.9209441675758155
6.05,0.7813297409884915,0.7776381162850418
6.1,0.7474872305162799,0.6790915568453895
6.15,0.7569905911426699,0.6303324920345514
6.2,0.810759293225467,0.6346004856732921
6.25,0.9082482775364815,0.6932412240295416
6.3,1.047518804769085,0.8056795210092171
6.35,1.225338585579343,0.9694701688067621
6.4,1.437353201509733,1.180455439313906
6.45,1.6782844675574287,1.432995018264491
6.5,1.9421976861459596,1.7202672447421572
6.55,2.2227942285300175,2.0346010409955144
6.6,2.513665751792568,2.3678876614879862
6.65,2.8085152458866864,2.7118987116448032
6.7,3.101345825383645,3.058621019805337
6.75,3.386603989642099,3.4004718900257505
6.8,3.659332585605382,3.7305487041244096
6.85,3.915219252175252,4.042693967162132
6.9,4.150648260311122,4.3316581407480195
6.95,4.362723641571753,4.593166225743988
7.0,4.549314065637138,4.823925976000476
7.05,4.7090367638291015,5.021647848091461
7.1,4.841282267904925,5.185003814112664
7.15,4.946172693122916,5.313649077303432
7.2,5.0244962414825824,5.4081043563100755
7.25,5.077654167367744,5.469767301538957
7.3,5.10757770576963,5.500772279209908
7.35,5.116658076314676,5.503912995686534
7.4,5.107650125171604,5.482564927232925
7.45,5.083569031498133,5.4405176175010315
7.5,5.047576347044834,5.3818430994078925
