θ,cost,cost_baseline
5.0,4.257293386838425,5.913179726701514
5.05,4.20417420306339,5.621214391792442
5.1,4.159454183526255,5.344616608428211
5.15,4.12556609552578,5.084363877212515
5.2,4.101234466206593,4.841254387707608
5.25,4.087341057258141,4.615926288004986
5.3,4.084843265722599,4.40888955299468
5.35,4.096404600137768,4.220513081777546
5.4,4.115334303959953,4.05108390320866
5.45,4.143658435444297,3.9007833410776462
5.5,4.1820751298706025,3.7697289404799874
5.55,4.230555707528945,3.6579763696187158
5.6,4.2888237874147634,3.5655109593295253
5.65,4.356543828317748,3.4922772242934443
5.7,4.433396589091319,3.438165553656161
5.75,4.51907544198261,3.4030197858872184
5.8,4.613270553597331,3.3866420944563647
5.85,4.715660964625229,3.38878340744025
5.9,4.825911261347642,3.4091640024103103
5.95,4.943674490291287,3.4474512331952334
6.0,5.0685917836640915,3.5032696325107007
6.05,5.200291367067826,3.5762047322429433
6.1,5.338392301204407,3.6658012128246114
6.15,5.482512864381025,3.771564503270183
6.2,5.6322699797596565,3.8929604090502914
6.25,5.787278113727081,4.029416090587753
6.3,5.947151535115629,4.180332717399798
6.35,6.111506035612955,4.345067592766355
6.4,6.279964937196249,4.522955439144422
6.45,6.452158553064647,4.713300212272557
6.5,6.627728894076631,4.915400919144694
6.55,6.806329350303761,5.128500780447769
6.6,6.987622844213909,5.351863084356385
6.65,7.171285204590778,5.584725021531951
6.7,7.357004689756081,5.826313348832665
6.75,7.544483333418437,6.075850700651387
6.8,7.733438412828361,6.332565331235981
6.85,7.923601318445751,6.595690247190853
6.9,8.114719951298675,6.864459920284513
6.95,8.306558397188681,7.138127368227371
7.0,8.498894294582652,7.415972747121772
7.05,8.691522845320526,7.697288562234669
7.1,8.88425568192057,7.981366703353225
7.15,9.076920635812895,8.26755854920107
7.2,9.269361553230095,8.55524281378106
7.25,9.46143676635374,8.843824739151769
7.3,9.653019032636195,9.132744576613293
7.35,9.843995875843403,9.421444281007442
7.4,10.034266579753062,9.70947893756526
7.45,10.223743297778263,9.996371397019889
7.5,10.412350178355233,10.28170250596633
