θ,cost,cost_baseline
5.0,2.0305533682347865,1.4300171594510747
5.05,1.8898517981761909,1.324068784991338
5.1,1.7544124757667987,1.2220402091602667
5.15,1.6242337817139951,1.123989845667145
5.2,1.4993126820292704,1.0299868692512086
5.25,1.3796448073576915,0.9400954241606677
5.3,1.2652244733295703,0.8543650167096405
5.35,1.1560445736582183,0.7728575288953246
5.4,1.0520967310937415,0.6956246787279534
5.45,0.9533710633754966,0.622716797507464
5.5,0.8598565201477988,0.5541809021165385
5.55,0.7715406494698888,0.49006123646523336
5.6,0.6884098999590963,0.430397426562633
5.65,0.6104493088203402,0.37522614860947434
5.7,0.5376428982300909,0.3245837253664916
5.75,0.4699735879757717,0.27849915245066875
5.8,0.40742321406671445,0.23700008459437705
5.85,0.3499725953915487,0.20011158202082113
5.9,0.297601621375719,0.16785542705920387
5.95,0.25028926276664776,0.14024785785157304
6.0,0.20801365558707563,0.11730565047894469
6.05,0.17075208526960564,0.09903963058203864
6.1,0.13848114100158396,0.08546023370298444
6.15,0.11117670542872099,0.07657328450896231
6.2,0.08881401708830543,0.07238309715460656
6.25,0.0713677787941986,0.07289051698968327
6.3,0.05881218135042664,0.07809460829050613
6.35,0.0511209723518816,0.08799184177781755
6.4,0.04826752756441245,0.10257731876716741
6.45,0.050224894814285756,0.1218424196245138
6.5,0.05696585622204086,0.145778060764587
6.55,0.06846298809627882,0.17437210255879204
6.6,0.0846887079392617,0.20761223025238373
6.65,0.10561534502464247,0.24548350868671212
6.7,0.13121515933092545,0.28796989948207286
6.75,0.16146045345461468,0.3350531000781061
6.8,0.19632358785055704,0.38671512618513226
6.85,0.23577701532004836,0.4429377046171981
6.9,0.27979339063194575,0.5036988068602798
6.95,0.32834554326638793,0.568974109241827
7.0,0.3814065691397377,0.6387452206921369
7.05,0.43894983839435947,0.7129881290807917
7.1,0.5009490908520812,0.7916776747915426
7.15,0.5673783654577556,0.8747917966713813
7.2,0.6382121814838377,0.9623052640113822
7.25,0.7134254770991265,1.0541929353124961
7.3,0.7929936603659692,1.1504318606616086
7.35,0.8768925771894263,1.2509966648143158
7.4,0.9650986927003835,1.3558595779305456
7.45,1.0575889577436193,1.4649993765222933
7.5,1.1543409319216063,1.5783885279469845
