θ,cost,cost_baseline
5.0,1.1616440907922827,1.1256250430973862
5.05,1.1124513688157411,1.0738710049536642
5.1,1.067907863932261,1.0270360060256216
5.15,1.0279728348376345,0.985080594543853
5.2,0.9926075900522223,0.947951659393323
5.25,0.9617761722956514,0.9155984080629184
5.3,0.9354430838943973,0.8879938702785011
5.35,0.9135758104639365,0.8650903541654317
5.4,0.8961423753987374,0.8468549238975591
5.45,0.8831127647567666,0.8332493055529128
5.5,0.8744577350177758,0.8242433081834022
5.55,0.8701496471684764,0.8198036194376814
5.6,0.8701613504116362,0.8199022823123233
5.65,0.8744672789370236,0.824513831718983
5.7,0.8830420354369338,0.8336039554177854
5.75,0.895861340013193,0.8471522200074518
5.8,0.9129014590866626,0.8651312181946464
5.85,0.9341391223006029,0.8875157578633459
5.9,0.9595522173830443,0.9142808589711842
5.95,0.9891182986076997,0.9454062775738873
6.0,1.0228155722536867,0.9808652816431256
6.05,1.0606228641887383,1.0206391673335957
6.1,1.1025188526057204,1.064698342791285
6.15,1.1484827105921296,1.1130293263959061
6.2,1.198493255919375,1.1656019514177902
6.25,1.252530036945057,1.222397893336764
6.3,1.3105726540388558,1.2833949696209994
6.35,1.3726004070582085,1.3485677394292064
6.4,1.4385925057356261,1.4179065020022614
6.45,1.5085285103006731,1.491369195636455
6.5,1.5823869882859378,1.5689448045535581
6.55,1.6601473068538282,1.6506090721310926
6.6,1.7417882803058875,1.7363395207002121
6.65,1.8272882707697469,1.826110913808641
6.7,1.91662593411903,1.9199013851566895
6.75,2.009778800449614,2.0176858831585847
6.8,2.1067249255327924,2.119441126996683
6.85,2.207442555452942,2.225142685129396
6.9,2.3119071202173584,2.3347545733190582
6.95,2.4200962550591827,2.4482669848004806
7.0,2.5319855391176476,2.565649970185312
7.05,2.6475508703923594,2.6868681747011247
7.1,2.7667678525376336,2.8119001011307545
7.15,2.8896117540847963,2.9407291853781166
7.2,3.016057378785187,3.073313235422518
7.25,3.146078337667486,3.2096267591263024
7.3,3.279649131238184,3.349645021877503
7.35,3.41674278177452,3.4933320213447856
7.4,3.557331914446138,3.6406568210583794
7.45,3.701387969507074,3.7915942007718364
7.5,3.8488821660268755,3.9461104632012165
