θ,cost,cost_baseline
5.0,3.802520113703842,4.96257786352005
5.05,3.7316125366655033,4.788584531420379
5.1,3.6677453532874957,4.622113893465935
5.15,3.611371659365707,4.463348241915551
5.2,3.562575308915924,4.312471189870284
5.25,3.5212615264309117,4.1696657506475985
5.3,3.487395816803647,4.0351293819813705
5.35,3.4610070405771944,3.9090309885660526
5.4,3.442155696199444,3.7915697339247414
5.45,3.430914115313137,3.6829240559024856
5.5,3.4273546324192843,3.583272335684026
5.55,3.431541994022086,3.492800473791011
5.6,3.4435312055022487,3.411677349536121
5.65,3.4633654285374025,3.340072944878534
5.7,3.4910725223936163,3.278143583549552
5.75,3.526666531648511,3.226037932069618
5.8,3.5701468680422495,3.1838969681729594
5.85,3.621498738142523,3.1518400015627526
5.9,3.680693851513191,3.129988735908871
5.95,3.747689463930852,3.118435552412502
6.0,3.822429348040053,3.117260806505204
6.05,3.904844150424622,3.1265282847973372
6.1,3.994852075317676,3.1462905027796135
6.15,4.092359906656104,3.1765732621573592
6.2,4.1972630981590875,3.217393136715182
6.25,4.309446558562124,3.268736536053857
6.3,4.428786128599172,3.3305857264873677
6.35,4.5551480594119855,3.4028924871179758
6.4,4.688389975797791,3.4855959949558013
6.45,4.828361890113976,3.578614374884188
6.5,4.974907664991768,3.6818600326012243
6.55,5.127865667962455,3.795202724214616
6.6,5.28706903162597,3.9185118082797024
6.65,5.452347017579964,4.0516471481114005
6.7,5.62352459819907,4.194439360998448
6.75,5.800422933067358,4.346708121934383
6.8,5.982860604526632,4.508254642357802
6.85,6.1706538913428215,4.6788875422887894
6.9,6.3636181906659175,4.858368228679829
6.95,6.561569159493618,5.046472850990981
7.0,6.76432137452028,5.242972528683744
7.05,6.971690070802396,5.447616234149327
7.1,7.183490459339716,5.660129476823265
7.15,7.399539986042456,5.880250821768176
7.2,7.619658275435675,6.107716627820635
7.25,7.843667031700649,6.342255256980879
7.3,8.071390014344033,6.5835881258147255
7.35,8.302652955499397,6.831413811754121
7.4,8.537283953256287,7.085466849853712
7.45,8.775114235029504,7.345453333867552
7.5,9.01597873650215,7.6110725183539945
