θ,cost,cost_baseline
5.0,3.370364679868011,2.997519166671741
5.05,3.3563602354724664,2.9574752363917334
5.1,3.347179207991745,2.9233685513095797
5.15,3.3427961144964504,2.895126076112355
5.2,3.343186316522072,2.8726709855669315
5.25,3.3483248053390713,2.855939195954119
5.3,3.358186780216724,2.8448791749483826
5.35,3.3727476884884924,2.8394061716492796
5.4,3.391982574310285,2.8394768233698016
5.45,3.415866790627523,2.8450310808279866
5.5,3.4443754000366216,2.8560126174853555
5.55,3.4774830686878873,2.872361986396256
5.6,3.515164681439017,2.894038779289746
5.65,3.557394660781589,2.920988940262531
5.7,3.6041468693772276,2.953162545279657
5.75,3.655395189668884,2.990516557319827
5.8,3.7111131483324624,3.033001128010131
5.85,3.771273654327176,3.0805760438606087
5.9,3.8358501130681426,3.1331962373593365
5.95,3.9048147770382764,3.190818751914425
6.0,3.978140233230496,3.2534019845932347
6.05,4.055798529562791,3.3209043347931932
6.1,4.137761137682351,3.3932838547574518
6.15,4.223999609896519,3.470499038688083
6.2,4.314484944958901,3.552518260818968
6.25,4.4091875583664395,3.639295902366229
6.3,4.50807779520623,3.7307931277664794
6.35,4.611125468394491,3.8269763936704106
6.4,4.718299959581347,3.927797600347434
6.45,4.829570601279763,4.033224734840367
6.5,4.94490600160577,4.143233299472375
6.55,5.064274889653517,4.257763596482575
6.6,5.187645090283695,4.376783127707705
6.65,5.31498470556051,4.500261826914282
6.7,5.446261134570212,4.628157052736066
6.75,5.581441411873773,4.760436490699952
6.8,5.720492286387366,4.89705037476272
6.85,5.863380328585951,5.037979155523356
6.9,6.0100712045073665,5.183163683145127
6.95,6.160530814372359,5.332572810540182
7.0,6.314724646708075,5.486187141057379
7.05,6.472618046078454,5.643958229684434
7.1,6.634175664843238,5.805836358552459
7.15,6.799362020067426,5.971778903848106
7.2,6.968141926951185,6.141762767257971
7.25,7.140479408652035,6.31574705999723
7.3,7.31633892642107,6.4937015053473335
7.35,7.495683878500703,6.6755636953496165
7.4,7.678477872333584,6.861305197822293
7.45,7.864684217600474,7.050891061174347
7.5,8.054265854739418,7.244259664461306
