θ,cost,cost_baseline
5.0,0.9450025519511207,0.9083602179321564
5.05,0.8652049855255648,0.8249492921637082
5.1,0.7901054989155601,0.7463098388799395
5.15,0.7197295110500885,0.6724776568338402
5.2,0.654100224875361,0.6034850558963833
5.25,0.5932385169564414,0.5393609985940625
5.3,0.5371625283605521,0.4801309759698203
5.35,0.4858878175418868,0.4258171473568839
5.4,0.4394274162709066,0.3764383213723574
5.45,0.3977918759709069,0.33201001207206127
5.5,0.3609893182420838,0.29254451797865544
5.55,0.3290254940931603,0.25805094753636365
5.6,0.3019038439692848,0.22853534344009557
5.65,0.2796255646423422,0.20400069739963358
5.7,0.2621896715381786,0.1844471069444177
5.75,0.24959307617692705,0.16987181344916594
5.8,0.24183065430888556,0.16026933757864006
5.85,0.23889532557927123,0.15563155100880108
5.9,0.24077814284128948,0.1559478313997783
5.95,0.24746837194798385,0.16120516981258667
6.0,0.2589536017761472,0.1713881903416083
6.05,0.27521974934902055,0.18647946239054625
6.1,0.2962510985983809,0.2064594353135733
6.15,0.3220304884343826,0.23130668629412293
6.2,0.35253940179678983,0.2609979870206951
6.25,0.38775805977290667,0.2955084455926526
6.3,0.4276655215789168,0.3348116422366482
6.35,0.4722397652941876,0.3788797298676263
6.4,0.5214577922672591,0.42768359342352047
6.45,0.5752957113220849,0.48119295507399457
6.5,0.6337288448707533,0.5393764756001851
6.55,0.696731806113536,0.6022019725496259
6.6,0.7642786144784554,0.6696363856820771
6.65,0.8363428069289931,0.7416459794942816
6.7,0.9128974747943399,0.8181965049187665
6.75,0.9939152772481518,0.8992532222993173
6.8,1.0793685551535048,0.9847810699261745
6.85,1.1692294319392156,1.074744639970122
6.9,1.263469862314117,1.1691085285974994
6.95,1.3620617153009078,1.267837156097432
7.0,1.464976835181337,1.3708950529900463
7.05,1.572187109342366,1.4782468295647577
7.1,1.6836645369522771,1.5898573268051674
7.15,1.7993812745546274,1.7056916409357148
7.2,1.919309720462062,1.8257152825073912
7.25,2.043422555642623,1.949894242619361
7.3,2.1716928175944807,2.078194832836987
7.35,2.3040939562510707,2.210584088172738
7.4,2.440599921054142,2.347029584438716
7.45,2.581185249013281,2.48749960248029
7.5,2.7258251339349324,2.631963099317538
