y,yhat,yhat_baseline
0.0017346944039024913,0.0,0.0
-0.0018066093990817653,6.584878534449463e-7,1.1652727902316648e-6
-0.0010186927475109924,7.584932622630139e-6,1.1949132087686233e-5
-0.0018793946626804391,1.0183991640236524e-5,2.5823764743684885e-5
0.0016073773920984359,-3.6861489227634036e-5,4.4002026673851183e-7
0.004265551024462973,-0.00019022674019839844,-0.00012340885880666793
0.000857734166692376,-0.000528021173475356,-0.00042468876748393995
-0.0009983247624925284,-0.001110634638161098,-0.0009642370699937573
-0.00017023739676154306,-0.001936169133843185,-0.0017440713792445009
-0.0036361626204608967,-0.0029876198557259163,-0.0027508811401142936
-0.006026571226945245,-0.00425677649228643,-0.003965463089070449
-0.00817927929177079,-0.005700037188463322,-0.005347577669842594
-0.012092662992077126,-0.007237252629695779,-0.00682193463952519
-0.013835708534413543,-0.008771891311154554,-0.008289258556431249
-0.025286036490822617,-0.010223686927019263,-0.00966658995210577
-0.030338616381887725,-0.011542136499564228,-0.01090385475051484
-0.038735166606977844,-0.012687530014172685,-0.01196692099702528
-0.04577134196061439,-0.013615392238124758,-0.012812596763098974
-0.05510258370351201,-0.014290302262108426,-0.013420992680852669
-0.0673919834819935,-0.014686229142281824,-0.013782624742709316
-0.07079522649386945,-0.014790980107153939,-0.013877106121416802
-0.08670513001872021,-0.014623722704140042,-0.01374480515815355
-0.09224259341138426,-0.014227750782570938,-0.013411163755874284
-0.10787028989819107,-0.013629830587196102,-0.012910779365009995
-0.12406198730264717,-0.01284237938602506,-0.012245821421430067
-0.13065743216907047,-0.011878517955027102,-0.011417398744292772
-0.1439470387002177,-0.010751312776610065,-0.010435356853446534
-0.15735258987741685,-0.009494987753410277,-0.009321834215733278
-0.1750187962049833,-0.008154275625149119,-0.008111865650676849
-0.19184718342451326,-0.006800189788832419,-0.006862964430287132
-0.20999637328699566,-0.0055310070722524715,-0.005665964349666558
-0.2225969272654172,-0.00444505007471454,-0.004610699883594758
-0.24133877659102768,-0.003630120521699664,-0.003776014307427873
-0.2593174467850152,-0.0031693832754135227,-0.003258211469603518
-0.2759177707664605,-0.0031254853220346055,-0.0031108719340830074
-0.29143116253044854,-0.003509708296567477,-0.0033631780715866863
-0.30587359293092575,-0.004280708403028735,-0.003997664375380672
-0.3223960370845426,-0.00536391893961573,-0.004971145357193824
-0.3347233742140784,-0.006677569660386208,-0.006212806131193972
-0.3459380162443357,-0.008176260174467442,-0.007699652412716656
-0.3504835528811399,-0.009832127187173778,-0.009414934734652566
-0.35777629688590873,-0.011603345430129848,-0.0113195099162064
-0.3598640554832837,-0.01343028852895089,-0.013362138686232311
-0.36042619574125334,-0.015253909025628528,-0.015480473573965828
-0.3617861331174636,-0.017015151601570785,-0.017610495403879864
-0.3568964437867544,-0.018669158985656686,-0.019699296954811384
-0.35249995158914466,-0.020206027015625478,-0.021730839482259935
-0.34858563273867765,-0.02166263305115155,-0.023733051855345907
-0.34366090238136177,-0.02306669019640912,-0.02572344168100201
-0.33574091064032735,-0.024432519056741684,-0.027704863721634363
-0.3295178567500658,-0.025743015509398958,-0.029647346781002885
-0.3201064112823913,-0.026992542283769162,-0.031529405809378484
