y,yhat,yhat_baseline
0.0017346944039024913,0.0,0.0
-0.001803438193482862,1.010196421913643e-6,1.1652727902316648e-6
-0.0009875546172756545,1.0785249036651836e-5,1.1949132087686233e-5
-0.0018049462229171873,2.1833393922599126e-5,2.5823764743684885e-5
0.0016980476098053697,-9.417402865636968e-6,4.4002026673851183e-7
0.004289195631625693,-0.0001419679985508655,-0.00012340885880666793
0.0006882131577784921,-0.00045510776399684073,-0.00042468876748393995
-0.0013943864331451789,-0.0010090861064315673,-0.0009642370699937573
-0.0006212702118114598,-0.0018031024357379746,-0.0017440713792445009
-0.003776569123547684,-0.0028189151785534845,-0.0027508811401142936
-0.005350195722194113,-0.004046880646597074,-0.003965463089070449
-0.006124448016445005,-0.0054464346595684675,-0.005347577669842594
-0.007996000339411087,-0.006939064555523089,-0.00682193463952519
-0.0069518901172746965,-0.008427165531597256,-0.008289258556431249
-0.014875249583048145,-0.009828537719920677,-0.00966658995210577
-0.015668995521056387,-0.01109248157384623,-0.01090385475051484
-0.019118221596912725,-0.012183591182856248,-0.01196692099702528
-0.020595399766501796,-0.013061133654909633,-0.012812596763098974
-0.02384834976946574,-0.013696303386309963,-0.013420992680852669
-0.029572434839718803,-0.0140705642129464,-0.013782624742709316
-0.02591479077821759,-0.014175910654725473,-0.013877106121416802
-0.03425479311417465,-0.014035044494848839,-0.01374480515815355
-0.03166653589810125,-0.013691876616504124,-0.013411163755874284
-0.038551895406178045,-0.013170046249177775,-0.012910779365009995
-0.04529926672834045,-0.012476845092737303,-0.012245821421430067
-0.04167169598763338,-0.011617811023448967,-0.011417398744292772
-0.04397584084318466,-0.010598089287082854,-0.010435356853446534
-0.045631386569167466,-0.00944589880908726,-0.009321834215733278
-0.0508410609421341,-0.008197875156044355,-0.008111865650676849
-0.054640781044488156,-0.006916801285877669,-0.006862964430287132
-0.05939897391701323,-0.005693742744435298,-0.005665964349666558
-0.058460942981244275,-0.0046222362114973934,-0.004610699883594758
-0.06369500778231875,-0.0037852366701636307,-0.003776014307427873
-0.06845478679641,-0.0032711260311328585,-0.003258211469603518
-0.07238200089307519,-0.0031491598870656686,-0.0031108719340830074
-0.0760416578425502,-0.0034393294935567763,-0.0033631780715866863
-0.07972569704483252,-0.004113563807912146,-0.003997664375380672
