θ,cost,cost_baseline
5.0,0.12036897624213579,0.1586223610790653
5.05,0.11889424413448756,0.15874702251203415
5.1,0.11747743504568531,0.15801506068473073
5.15,0.11610743718800834,0.15658016915900017
5.2,0.11480037999568353,0.1540163429636752
5.25,0.1135487458732509,0.15063148747466182
5.3,0.11235450534771907,0.14690553579718169
5.35,0.11123836836741023,0.14286899486642152
5.4,0.11020714838672242,0.13855727325582193
5.45,0.10924595743266742,0.1341407364560733
5.5,0.10838186377087672,0.13027064181894119
5.55,0.10759476740529014,0.1265248359829762
5.6,0.10689714728625305,0.12336139658914765
5.65,0.10625969100099168,0.12061137978593908
5.7,0.10568943954571741,0.11829034296919513
5.75,0.10516389358448466,0.11633028620586598
5.8,0.10471106436837138,0.11492759915927811
5.85,0.10430381137079511,0.11358614990600517
5.9,0.10395532213260703,0.11243015602930209
5.95,0.1036577226497703,0.11168611475082262
6.0,0.10341308996878332,0.11047405072192341
6.05,0.10322833522809563,0.10927440321383007
6.1,0.10309733725189188,0.1081108762652957
6.15,0.1030162302271418,0.10652378693884322
6.2,0.10297770575439474,0.10494371278442256
6.25,0.10297421018302763,0.10332499308873028
6.3,0.10300802069688908,0.10193335397668317
6.35,0.10307642217679103,0.1004887293564513
6.4,0.1031647021645024,0.09950552051373361
6.45,0.10326344525468975,0.09886022481771786
6.5,0.10338080762888689,0.09822132534759984
6.55,0.10352023185681351,0.09779248983291915
6.6,0.10365830960797756,0.09791104991983522
6.65,0.10381644038169896,0.09795270544038902
6.7,0.10399702010456507,0.09820602062376023
6.75,0.10419758640603749,0.0984778039349299
6.8,0.1044313013559202,0.09875728049484309
6.85,0.10470319429695289,0.09909162581403144
6.9,0.10502093549813044,0.09903504239746791
6.95,0.1053812700429603,0.09904375829287151
7.0,0.10581491153252613,0.0988100611703562
7.05,0.10630618313359518,0.09846333692194928
7.1,0.10686937599600452,0.09789987856775112
7.15,0.10751231280165185,0.09718031063969525
7.2,0.10822923814492282,0.09602464158690086
7.25,0.10902205013693178,0.0952582248434008
7.3,0.10990193403731326,0.09423930228209637
7.35,0.11084277697458422,0.09318487076981304
7.4,0.11186503809726754,0.09224025264480944
7.45,0.11294531352260599,0.09164881907412473
7.5,0.11408993693073276,0.09119191719673571
