θ,cost,cost_baseline
5.0,0.7812820562949271,0.7692733600195933
5.05,0.7124052252841212,0.7006224510114596
5.1,0.647508576863598,0.6359886959042698
5.15,0.5865702014346121,0.5753555689178622
5.2,0.5295705194880636,0.5186994676403549
5.25,0.4764923127364796,0.46600297681367236
5.3,0.4273204715210488,0.41726067862056804
5.35,0.38204194184605245,0.3724497717836289
5.4,0.3406450785055488,0.3315657333338272
5.45,0.3031200735348933,0.29459960116319606
5.5,0.2694581136732297,0.2615384517367676
5.55,0.23965153693793503,0.23237978906863146
5.6,0.21369363956054682,0.20711681560777392
5.65,0.19157844713641858,0.18574382572978032
5.7,0.17330083249968994,0.16825654788694655
5.75,0.15885606882238754,0.154651066227987
5.8,0.1482397299919546,0.14492368427398591
5.85,0.14144789669395352,0.1390709632534972
5.9,0.13847662475491762,0.13709065997726766
5.95,0.13932221813440288,0.13897842512165515
6.0,0.14398087195104392,0.14473121748955486
6.05,0.152448713856088,0.15434504973205146
6.1,0.164721962872529,0.16781802731772966
6.15,0.18079615229860477,0.18514350052589998
6.2,0.20066698004201605,0.20631969398766747
6.25,0.22432958008278067,0.23134054478018615
6.3,0.2517787583616303,0.2602010603140801
6.35,0.28300875167647666,0.29289597241421217
6.4,0.3180135521543238,0.32941755839822134
6.45,0.35678647271329306,0.3697591285869969
6.5,0.3993201186012684,0.4139190872143908
6.55,0.4456066689780153,0.4618800251123737
6.6,0.4956378477471946,0.5136364712558202
6.65,0.5494043484717354,0.569182164784161
6.7,0.6068962935258978,0.6285041672245615
6.75,0.6681031915281975,0.6915903031936419
6.8,0.733013850561625,0.7584312313341839
6.85,0.8016161387275982,0.8290139589018632
6.9,0.8738972873008071,0.9033204992909656
6.95,0.949844049833789,0.9813390507418014
7.0,1.0294417326809788,1.0630605336511916
7.05,1.1126753184243319,1.1484667049437634
7.1,1.199529006840753,1.2375348303688112
7.15,1.289985995905072,1.3302465457134298
7.2,1.3840286743261005,1.4265889040079982
7.25,1.481639164877198,1.5265428682290467
7.3,1.5827982433328345,1.630092875262499
7.35,1.6874856280078752,1.7372047911405326
7.4,1.795681328355284,1.847866817780713
7.45,1.9073632809508319,1.9620540151299364
7.5,2.022510016716911,2.0797330334362227
