θ,cost,cost_baseline
5.0,0.00047743566696686093,0.0004729623463686495
5.05,0.00044243581299818616,0.00043799315571247706
5.1,0.0004074798918484947,0.0004009271450821144
5.15,0.0003730790397676135,0.00036904890698128166
5.2,0.00033938287614113685,0.00033575873060891936
5.25,0.0003066108446357392,0.00030258664750821066
5.3,0.0002751566980946071,0.000270882711136967
5.35,0.00024508394343507415,0.000242226176578166
5.4,0.00021659495040130984,0.00021524316086571493
5.45,0.000189730875177656,0.00018736873041130423
5.5,0.00016468744269194235,0.0001625064019851576
5.55,0.0001414347592104821,0.00013903512572063106
5.6,0.00012007612644176332,0.00011863212427785763
5.65,0.0001005943940917614,9.94447541216869e-5
5.7,8.303666267187524e-5,8.16515406817709e-5
5.75,6.735354039134219e-5,6.622978146403508e-5
5.8,5.3513949724828065e-5,5.2822725725778155e-5
5.85,4.1504665139576224e-5,4.063706523265855e-5
5.9,3.127419435837447e-5,3.085075961312958e-5
5.95,2.275976963851554e-5,2.2419502003159294e-5
6.0,1.5910768855737728e-5,1.5538293762985873e-5
6.05,1.0684955924265146e-5,1.053387717325408e-5
6.1,7.013622746464744e-6,6.984614840293411e-6
6.15,4.8398566650137345e-6,4.872463631529192e-6
6.2,4.089139262018577e-6,4.22788604014524e-6
6.25,4.694967975786233e-6,4.9203081405915174e-6
6.3,6.584151874644725e-6,6.752099257358744e-6
6.35,9.689207465823594e-6,9.803037487748116e-6
6.4,1.3920914586449952e-5,1.4241093179503497e-5
6.45,1.920153801382402e-5,1.9500706458880737e-5
6.5,2.5470458748999446e-5,2.55502775022716e-5
6.55,3.262365950480903e-5,3.27578326567735e-5
6.6,4.058036150843268e-5,4.0781914258274706e-5
6.65,4.9276857089378874e-5,4.953657933415543e-5
6.7,5.859435566042654e-5,5.819389114936924e-5
6.75,6.847950686664948e-5,6.863900506671918e-5
6.8,7.88223641675666e-5,7.789903972393125e-5
6.85,8.957106225476925e-5,8.915881114843855e-5
6.9,0.00010065960474542053,0.00010016927778180352
6.95,0.00011196968775371921,0.00011176007468350764
7.0,0.000123402420674444,0.00012249883087498475
7.05,0.0001349390644428714,0.00013363784310100644
7.1,0.0001464802234405294,0.0001447304192935813
7.15,0.00015798055020974113,0.00015639401942316682
7.2,0.0001693655044568299,0.00016789677898846014
7.25,0.00018062395379413878,0.00017902142411058765
7.3,0.0001916256618095361,0.00018994016828478182
7.35,0.00020238262383452145,0.00020021830305262558
7.4,0.00021285189625244627,0.00021225384469296415
7.45,0.00022295784255282636,0.00022178719978831538
7.5,0.0002327570383653115,0.00023047275884458267
