θ,cost,cost_baseline
5.0,0.8533054850621852,0.8618301916937002
5.05,0.7778870874240481,0.7859399228451164
5.1,0.7061315620858085,0.713724561321984
5.15,0.6380285285673051,0.6451750850775135
5.2,0.573570012279609,0.5802793938271266
5.25,0.5127500791996726,0.5190297903281411
5.3,0.45556509981954796,0.4614261052329773
5.35,0.4020128523555365,0.40746191593188685
5.4,0.3520926502607456,0.3571390173873288
5.45,0.30580500234542696,0.3104535220136075
5.5,0.2631514891800487,0.2674068839657612
5.55,0.22413466284066183,0.22800267018649364
5.6,0.18875762110870636,0.1922432927265219
5.65,0.15702415894240085,0.1601313521584572
5.7,0.12893821639847358,0.1316692351621906
5.75,0.10450435226238142,0.10686239723564041
5.8,0.08372701455688962,0.08571477146109426
5.85,0.06661080416433547,0.06823125852939398
5.9,0.053160104914059564,0.054414707093598594
5.95,0.04337935238884912,0.04426886924389469
6.0,0.03727260012939902,0.03779880994650523
6.05,0.03484358610817095,0.035008056205653414
6.1,0.036095684830997996,0.035898236131611166
6.15,0.04103175750650645,0.04047398653187546
6.2,0.04965418140926118,0.04873591333980519
6.25,0.06196475916825654,0.0606861856796145
6.3,0.07796461804615734,0.07632602884350712
6.35,0.0976542543259925,0.0956550323026193
6.4,0.12103343834067712,0.11867586092697259
6.45,0.14810119281099338,0.14538259045767976
6.5,0.1788557309381416,0.1757763355689865
6.55,0.21329449712193135,0.20985444673383832
6.6,0.2514140591591511,0.24761359433132538
6.65,0.2932101353934849,0.28904829856512715
6.7,0.33867756769856433,0.33415435023879575
6.75,0.38781030026400615,0.38292607146254654
6.8,0.44060124117896626,0.43535672911373524
6.85,0.49704262900980045,0.4914368989908913
6.9,0.5571255684564842,0.5511541925364246
6.95,0.620840279356781,0.6145077707012269
7.0,0.688175988663754,0.6814831239812358
7.05,0.759121056902934,0.7520646156084031
7.1,0.8336628414619682,0.82624304559938
7.15,0.9117878567618385,0.9040099163865564
7.2,0.9934813806529948,0.985344023272204
7.25,1.0787280999877347,1.0702313929981093
7.3,1.1675114778604154,1.1586575582375267
7.35,1.259814500907119,1.2506017974517334
7.4,1.3556185984010463,1.3460466966107725
7.45,1.4549049602167485,1.44497418317703
7.5,1.5576534890415092,1.5473647358794018
